"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1068","@KeithTweets_1 @TeamTrump @realDonaldTrump @AGScottPruitt @newsmax Election is over. Trump will be held accountable as all Presidents are.",FALSE,0,"KeithTweets_1",2016-12-09 17:52:49,FALSE,"807279960486449152","807281861756092416","791152272503926784","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bshopkin",0,FALSE,FALSE,NA,NA
"1069","RT @realDonaldTrump: Join me tomorrow! #MAGA 
10am- Baton Rouge, LA. 
Tickets: https://t.co/rvIQ6Yq45P
7pm- Grand Rapids, MI.
Tickets: http…",FALSE,0,NA,2016-12-09 17:52:39,FALSE,NA,"807281819653722117",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Alex44589115",5266,TRUE,FALSE,NA,NA
"1070","@SenSanders @realDonaldTrump Mr. Sanders you have more integrity than Trump or Clinton...you should be Pres Elect, not Trump.",FALSE,0,"SenSanders",2016-12-09 17:52:37,FALSE,"807257683141214212","807281812280066048","29442313","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","onlymy2cents1",0,FALSE,FALSE,NA,NA
"1071","@Tribble_lover @realDonaldTrump @KellyannePolls another action from trump and party pricing he behaves as dictator NOT president elect",FALSE,0,"Tribble_lover",2016-12-09 17:52:23,FALSE,"807279333131681792","807281755514425348","1695156122","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","SillsChar",0,FALSE,FALSE,NA,NA
"1072","We can beat back the reign of @realDonaldTrump–if we unite in a movement for Populist Justice https://t.co/AI1Wi47VIU",FALSE,0,NA,2016-12-09 17:52:23,FALSE,NA,"807281753970843648",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tampabaybucsfan",0,FALSE,FALSE,NA,NA
"1073","@kupajo322 @realDonaldTrump Trump will be 70yrs old, 7mon, 7days on Inauguration day. #CyrusTheGreat #777 #kingofbabylon Built a wall.",FALSE,1,"kupajo322",2016-12-09 17:52:18,FALSE,NA,"807281732080668672","1873929764","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","myanb2003",0,FALSE,FALSE,NA,NA
"1074","'I’m the union leader @realDonaldTrump attacked. I’m tired of being lied to about our jobs.' https://t.co/Tv2eOI0oh1 #LoserInChief",FALSE,0,NA,2016-12-09 17:52:12,FALSE,NA,"807281708349489152",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","LAKane",0,FALSE,FALSE,NA,NA
"1075","@FoxNews @realDonaldTrump This, while our Idiot-Elect refuses his daily intelligence briefings. https://t.co/TtcUgY0tux",FALSE,3,"FoxNews",2016-12-09 17:52:09,FALSE,"807280686155567104","807281696856887296","1367531","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","common_goal",0,FALSE,FALSE,NA,NA
"1076","@realDonaldTrump 3. Be careful, Trump. The People have no more patience for betrayal, especially after you fired them up.",FALSE,0,"realDonaldTrump",2016-12-09 17:52:05,FALSE,NA,"807281677026398208","25073877","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","arthur_lunar",0,FALSE,FALSE,NA,NA
"1077","@kurteichenwald @PaladinCornelia @realDonaldTrump @Schwarzenegger &lt;- wants a role in Trump's rogues' gallery. #cronies",FALSE,0,"kurteichenwald",2016-12-09 17:52:00,FALSE,"807024262326448128","807281658584006656","215207998","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Betsy_Manning",0,FALSE,FALSE,NA,NA
"1078","Hey @realDonaldTrump , let me help you out!  I'll be Batman.  
#trump #DeleteYourAccount #loser… https://t.co/yrhgsu6fUY",FALSE,1,NA,2016-12-09 17:51:53,TRUE,NA,"807281629580275712",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jaysmithgroup",0,FALSE,FALSE,NA,NA
"1079","RT @realDonaldTrump: Join me tomorrow! #MAGA 
10am- Baton Rouge, LA. 
Tickets: https://t.co/rvIQ6Yq45P
7pm- Grand Rapids, MI.
Tickets: http…",FALSE,0,NA,2016-12-09 17:51:52,FALSE,NA,"807281625155379200",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PiotrowskBart",5266,TRUE,FALSE,NA,NA
"1080","@DrJillStein @realDonaldTrump Trump has zero to do with your crazy cat lady rants #GoHomeLoser #NeverGreenParty",FALSE,0,"DrJillStein",2016-12-09 17:51:44,FALSE,"807223576516591616","807281589797449728","111216929","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Kitten_Punch",0,FALSE,FALSE,NA,NA
"1081","RT @eclecticbella: @bchance33 @joe_kidder2 @realDonaldTrump If Trump won't live at the WH full-time &amp; won't fly on AF1, I say he pays his o…",FALSE,0,NA,2016-12-09 17:51:43,FALSE,NA,"807281586802671618",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bchance33",1,TRUE,FALSE,NA,NA
"1082","@realDonaldTrump Seth Meyers Explores The Times 'Baby' Trump Has 'Lied His Ass Off' https://t.co/JPK8anmOyk.  Dumptrump has tinier hands....",FALSE,0,"realDonaldTrump",2016-12-09 17:51:40,FALSE,"806999846674698240","807281572739170304","25073877","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoyishyB",0,FALSE,FALSE,NA,NA
"1083","@realDonaldTrump Step down, you are clearly unfit to lead, inspire and unite https://t.co/x0ECiC1QQ0",FALSE,0,"realDonaldTrump",2016-12-09 17:51:38,FALSE,NA,"807281566489550848","25073877","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DanielleSisk1",0,FALSE,FALSE,NA,NA
"1084","RT @Jeffhull71: .@realDonaldTrump The #Trump KKKabinet Is coming together.  So much for #draintheswamp #ethics #morals are easy to bury in…",FALSE,0,NA,2016-12-09 17:51:37,FALSE,NA,"807281560479207426",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","grungepup",1,TRUE,FALSE,NA,NA
"1085","RT @Jeffhull71: .@RNCWomen @realDonaldTrump #Trump suckers #KKK #draintheswamp #notmypresident https://t.co/fifPLpe40n",FALSE,0,NA,2016-12-09 17:51:33,FALSE,NA,"807281544415051776",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","grungepup",2,TRUE,FALSE,NA,NA
"1086","@realDonaldTrump ""what do we want 
a trump filled swamp  when do want it   Now"" !
Trump Swamp Matters 
Goldman Gary Cohn Carrier Chuck Jones",FALSE,0,"realDonaldTrump",2016-12-09 17:51:33,FALSE,NA,"807281543811125248","25073877","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Chrismf6",0,FALSE,FALSE,NA,NA
"1087","RT @amrightnow: The Real Trump Will Build The Strongest Military In The World https://t.co/j58e8aacrE @realDonaldTrump #trump2016 https://t…",FALSE,0,NA,2016-12-09 17:51:31,FALSE,NA,"807281534470356992",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KaySmithTexas",2,TRUE,FALSE,NA,NA
"1088","RT @PAGOP: .@realDonaldTrump Bringing Thank You Tour To Hershey https://t.co/BmZVlaX8sm #MAGA",FALSE,0,NA,2016-12-09 17:51:26,FALSE,NA,"807281517072449538",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","STD122",14,TRUE,FALSE,NA,NA
"1089","@FoxNews @realDonaldTrump 
Trump is a Freak. A fraud. A con. A national disgrace.  A hazardous man. Disrespectful demagogue",FALSE,0,"FoxNews",2016-12-09 17:51:20,FALSE,"807250607727706112","807281489805189120","1367531","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jo_revelette",0,FALSE,FALSE,NA,NA
